Layer,Expert_ID,Total_Activations,Shapley_Value
7,8,626,42.048590314024004
7,12,621,40.573676634168656
7,86,593,39.175976527865096
7,61,554,37.29012899538463
7,127,548,36.31453800102485
7,46,542,35.07765308852307
7,123,514,35.07426913882207
7,62,521,34.931173526140185
7,111,523,34.89442076714463
7,2,416,27.773339315015377
7,64,366,24.473939736601103
7,34,393,24.358205023125098
7,67,376,24.12922457975119
7,70,327,21.491882682586745
7,24,329,21.228652751423134
7,7,325,20.472140181299793
7,91,302,19.806028104621813
7,11,306,19.375843135398696
7,56,268,17.33407489803484
7,119,237,15.871802002224689
7,9,248,15.662827978799982
7,63,227,14.787072282148376
7,110,221,14.170837968112693
7,102,207,13.436403696414828
7,73,187,12.417471025153416
7,31,196,12.319243604004471
7,16,168,11.177542948955612
7,103,157,10.539871008562026
7,81,153,9.199050954961782
7,94,129,8.198409755695623
7,100,118,7.116825712780276
7,113,118,6.983453837597332
7,36,100,6.676479613363508
7,121,95,5.940015049401295
7,93,89,5.208778985197226
7,58,90,5.174400127125373
7,41,73,4.55990987136705
7,48,73,4.442767095714814
7,122,86,4.432007786429371
7,79,67,4.408493096905059
7,84,67,4.403040415276232
7,25,70,4.171301446051165
7,52,40,2.486095661846496
7,97,35,2.175323628508326
7,89,32,2.031929416523411
7,30,36,1.9466073414905458
7,26,34,1.9466073414905454
7,27,32,1.8605328672069503
7,5,28,1.8513511022068718
7,104,26,1.6434155234210852
7,33,29,1.5294771968854284
7,29,24,1.4277559861834788
7,85,20,1.1955004471198938
7,40,25,1.1123470522803116
7,80,16,0.7945336087716514
7,108,12,0.6710672677243722
7,82,13,0.6256952169076753
7,10,11,0.6237640588307999
7,22,11,0.6083147942157953
7,88,37,0.5909343715239156
